A_sf_m2,r_st_m3_per_m2,SOLFRAC
67.85,0.0,0.144761746513333
67.85,0.02,0.155710984978059
67.85,0.04,0.155052807569719
67.85,0.06,0.154742125838627
67.85,0.08,0.154583954578324
94.99,0.0,0.231566023270245
94.99,0.02,0.240049883665684
94.99,0.04,0.239904249053021
94.99,0.06,0.239757087393192
94.99,0.08,0.239604387418035
135.7,0.0,0.289519685993539
135.7,0.02,0.292989880888152
135.7,0.04,0.293695590360199
135.7,0.06,0.293800417217181
135.7,0.08,0.293685653669158
189.98,0.0,0.414669470480563
189.98,0.02,0.408723471654259
189.98,0.04,0.415022570807664
189.98,0.06,0.415707036068101
189.98,0.08,0.414888105642307
379.96,0.0,0.502679859272299
379.96,0.02,0.568845879374179
379.96,0.04,0.579382094827894
379.96,0.06,0.590236360232595
379.96,0.08,0.594972269000763
569.94,0.0,0.556029414213362
569.94,0.02,0.687625495074615
569.94,0.04,0.708098143853196
569.94,0.06,0.711375019536681
569.94,0.08,0.713001186007341
759.92,0.0,0.573752726992684
759.92,0.02,0.721761543096916
759.92,0.04,0.751386656666887
759.92,0.06,0.770073276620198
759.92,0.08,0.773909471630165
949.9,0.0,0.586098373021878
949.9,0.02,0.744897393783937
949.9,0.04,0.778536371095687
949.9,0.06,0.791241804565895
949.9,0.08,0.794521095028925
